"","v","dp"
"1",0.05,3.57538246153846
"2",0.1,7.30467071794872
"3",0.15,11.1836452820513
"4",0.2,15.2075825
"5",0.25,19.3689974358974
"6",0.3,22.6579015384615
"7",0.35,24.20638275
"8",0.4,24.54185525
"9",0.45,25.3693874358974
"10",0.5,26.425069
"11",0.55,27.796151025641
"12",0.6,29.4039928205128
"13",0.65,30.8334015
"14",0.7,32.430451025641
"15",0.75,34.11948925
"16",0.8,36.188711025641
"17",0.85,40.8833869230769
"18",0.9,43.0656374358974
"19",0.95,44.1054075
"20",1,46.87893925
"21",1.05,47.5249528205128
"22",1.1,48.715872051282
"23",1.15,50.3714623076923
"24",1.2,51.59394625
"25",1.25,52.8821425
"26",1.3,55.0086476923077
"27",1.35,57.1118448717949
"28",1.4,59.2866492307692
"29",1.45,60.51267475
"30",1.5,63.537947
"31",1.55,65.84336
"32",1.6,68.24638975
"33",1.65,71.8533058974359
"34",1.7,72.4701266666667
"35",1.75,76.432038974359
"36",1.8,79.9269843589744
"37",1.85,82.25220025
"38",1.9,84.2975353846154
"39",1.95,86.746473
"40",2,93.5801279487179
"41",2.05,95.573122051282
"42",2.1,98.217878
"43",2.15,102.072404358974
"44",2.2,106.975979
"45",2.25,113.381560769231
"46",2.3,117.259703846154
"47",2.35,121.929764
"48",2.4,126.899463589744
"49",2.45,132.53139075
"50",2.5,140.168044358974
"51",2.55,146.866263076923
"52",2.6,150.0457475
"53",2.65,156.280342307692
"54",2.7,156.5634125
"55",2.75,166.830766666667
"56",2.8,169.173823076923
"57",2.85,165.2693625
"58",2.9,170.351866666667
"59",2.95,178.0893125
"60",3,174.910774358974
"61",3.05,181.234730769231
"62",3.1,185.274579487179
"63",3.15,188.7237
"64",3.2,191.944782051282
"65",3.25,202.924446153846
"66",3.3,202.754735897436
"67",3.35,210.423653846154
"68",3.4,208.8856275
"69",3.45,224.771771794872
"70",3.5,224.929692307692
"71",3.55,226.277756410256
"72",3.6,236.895351282051
"73",3.65,237.9407525
"74",3.7,245.425851282051
"75",3.75,246.52571025641
"76",3.8,254.322143589744
"77",3.85,261.6307375
"78",3.9,266.851585
"79",3.95,269.723582051282
"80",4,275.707187179487
"81",4.05,284.172533333333
"82",4.1,289.88938
"83",4.15,298.2949475
"84",4.2,301.791994871795
"85",4.25,309.122423076923
"86",4.3,301.879797435897
"87",4.35,295.36584
"88",4.4,305.2621275
"89",4.45,332.267241025641
"90",4.5,300.545074358974
"91",4.55,285.295041025641
"92",4.6,285.260525
"93",4.65,290.5098075
"94",4.7,297.045382051282
"95",4.75,302.943046153846
"96",4.8,308.821474358974
"97",4.85,315.8018325
"98",4.9,323.0473125
"99",4.95,328.432782051282
"100",5,336.547228205128
